Date,,Bit,,,Depth,,Viscosity,,Mud Weight,,,PV,YP,pH,Filtrate,Chlorides
,,Diam.,,,,,,SG,,PPG,,,,,,
,,(“),,,(m),,,,,,,,,,,
8‐Jan,PQ,,,,,,42,1.01,,8.4,,10,4,8.5,20.8,2200
8‐Jan,PQ,,,231,,,45,1.01,,8.4,,13,9,9,20,2200
9‐Jan,PQ,,,250,,,41,1.01,,8.4,,10,4,9,13,2100
10‐Jan,PQ,,,310,,,40,1.02,,8.5,,9,1,9,11,2530
10‐Jan,PQ,,,316,,,43,1.02,,8.5,,11,2,9,7.8,2300
10‐Jan,PQ,,,325,,,44,1.02,,8.5,,10,1,9,10.4,2300
11‐Jan,PQ,,,351,,,42,1.03,,8.6,,11,3,9,7.8,2300
11‐Jan,PQ,,,358,,,42,1.03,,8.6,,9,2,9,9,2500
11‐Jan,PQ,,,369,,,43,1.01,,8.4,,9,1,9,10,2500
12‐Jan,PQ,,,398,,,40,1.01,,8.4,,9,1,9,12,2500
13‐Jan,PQ,,,400,,,40,1.02,,8.5,,,,9,9,2400
13‐Jan,PQ,,,406,,,42,1.02,,8.5,,9,4,9,8.4,2500
